,Open,High,Low,Close,Adj Close,Volume,BTC,isPartial
2020-10-01,100.0,100.0,100.0,100.0,100.0,0,44.0,False
2020-10-05,100.02999877929688,100.04000091552734,99.99500274658203,99.99500274658203,99.99500274658203,10725,43.0,False
2020-10-06,100.01000213623047,100.02999877929688,100.01000213623047,100.02999877929688,100.02999877929688,10080,41.0,False
2020-10-07,99.94999694824219,99.95999908447266,99.91999816894531,99.91999816894531,99.91999816894531,6350,39.0,False
2020-10-08,99.98999786376953,99.99500274658203,99.9717025756836,99.99500274658203,99.99500274658203,650,41.0,False
2020-10-09,99.97000122070312,99.9800033569336,99.94000244140625,99.94000244140625,99.94000244140625,1820,46.0,False
2020-10-12,99.95999908447266,99.97000122070312,99.94000244140625,99.94000244140625,99.94000244140625,5685,52.0,False
2020-10-13,99.97899627685547,99.98999786376953,99.96320343017578,99.96499633789062,99.96499633789062,3635,50.0,False
2020-10-14,100.0,100.0,99.9749984741211,99.9749984741211,99.9749984741211,3985,44.0,False
2020-10-15,100.0,100.0,99.94499969482422,99.94499969482422,99.94499969482422,3312,47.0,False
2020-10-16,99.94999694824219,99.95999908447266,99.92500305175781,99.92500305175781,99.92500305175781,2135,45.0,False
2020-10-19,99.91000366210938,99.91999816894531,99.88999938964844,99.88999938964844,99.88999938964844,126687,47.0,False
2020-10-20,99.84709930419922,99.84709930419922,99.84709930419922,99.84709930419922,99.84709930419922,29,56.0,False
2020-10-21,99.83999633789062,99.83999633789062,99.82430267333984,99.82430267333984,99.82430267333984,320,83.0,False
2020-10-22,99.77999877929688,99.77999877929688,99.75,99.75,99.75,5600,79.0,False
2020-10-23,99.80999755859375,99.80999755859375,99.79000091552734,99.79000091552734,99.79000091552734,4617,73.0,False
2020-10-26,99.88999938964844,99.88999938964844,99.86000061035156,99.86000061035156,99.86000061035156,3900,63.0,False
2020-10-26,99.88999938964844,99.88999938964844,99.86000061035156,99.86000061035156,99.86000061035156,3900,19.0,False
2020-10-27,99.93000030517578,99.93000030517578,99.91500091552734,99.91500091552734,99.91500091552734,710,22.0,False
2020-10-28,99.91000366210938,99.91000366210938,99.88500213623047,99.88500213623047,99.88500213623047,704,23.0,False
2020-10-29,99.81999969482422,99.81999969482422,99.7699966430664,99.7699966430664,99.7699966430664,830,18.0,False
2020-10-30,99.69989776611328,99.69989776611328,99.69989776611328,99.69989776611328,99.69989776611328,29,20.0,False
