,Open,High,Low,Close,Adj Close,Volume,Google Searches,isPartial,Price Difference
2021-04-01,193.36000061035156,196.97000122070312,183.60000610351562,191.4499969482422,191.4499969482422,9334300,72,False,1.910003662109375
2021-04-05,171.0,195.0,164.80999755859375,186.9499969482422,186.9499969482422,14070500,67,False,-15.949996948242188
2021-04-06,185.2100067138672,192.0,183.55999755859375,184.5,184.5,6218300,59,False,0.7100067138671875
2021-04-07,183.22000122070312,184.5,176.11000061035156,177.97000122070312,177.97000122070312,4768300,52,False,5.25
2021-04-08,185.8800048828125,185.8800048828125,164.3000030517578,170.25999450683594,170.25999450683594,10047400,53,False,15.620010375976562
2021-04-09,169.6999969482422,171.5800018310547,153.0,158.36000061035156,158.36000061035156,9462400,51,False,11.339996337890625
2021-04-12,158.11000061035156,163.89999389648438,135.00999450683594,141.08999633789062,141.08999633789062,16683600,54,False,17.020004272460938
2021-04-13,141.8800048828125,145.3800048828125,132.0,140.99000549316406,140.99000549316406,6806900,55,False,0.8899993896484375
2021-04-14,143.57000732421875,174.08999633789062,143.0,166.52999877929688,166.52999877929688,21138100,67,False,-22.959991455078125
2021-04-15,163.0,166.25,152.8000030517578,156.44000244140625,156.44000244140625,7856800,54,False,6.55999755859375
2021-04-16,156.0,160.1999969482422,151.25,154.69000244140625,154.69000244140625,5214700,58,False,1.30999755859375
2021-04-19,171.8000030517578,175.1999969482422,162.3300018310547,164.3699951171875,164.3699951171875,10520200,57,False,7.4300079345703125
2021-04-20,164.13999938964844,164.88999938964844,153.36000061035156,158.52999877929688,158.52999877929688,4658600,47,False,5.6100006103515625
2021-04-21,158.39999389648438,162.97999572753906,155.9199981689453,158.50999450683594,158.50999450683594,3812800,46,False,-0.1100006103515625
2021-04-22,159.10000610351562,159.10000610351562,146.86000061035156,151.1699981689453,151.1699981689453,4345800,40,False,7.9300079345703125
2021-04-23,149.0,153.66000366210938,144.6999969482422,151.17999267578125,151.17999267578125,4029100,37,False,-2.17999267578125
2021-04-26,150.97999572753906,174.67999267578125,148.75999450683594,168.92999267578125,168.92999267578125,10532100,52,False,-17.949996948242188
2021-04-27,183.5500030517578,188.0,173.1699981689453,177.77000427246094,177.77000427246094,8932700,72,False,5.779998779296875
