,Open,High,Low,Close,Adj Close,Volume,Search Interest,Price Difference,Buy
2020-07-27,287.0,309.5880126953125,282.6000061035156,307.9200134277344,307.9200134277344,80243500,32.0,-20.920013427734375,0
2020-07-28,300.79998779296875,312.94000244140625,294.8840026855469,295.2980041503906,295.2980041503906,79043500,32.0,5.501983642578125,1
2020-07-29,300.20001220703125,306.9620056152344,297.3999938964844,299.8219909667969,299.8219909667969,47134500,27.0,0.378021240234375,1
2020-07-30,297.6000061035156,302.64801025390625,294.20001220703125,297.49798583984375,297.49798583984375,38105000,24.0,0.102020263671875,1
2020-07-31,303.0,303.4100036621094,284.1960144042969,286.1520080566406,286.1520080566406,61041000,25.0,16.847991943359375,1
2020-08-03,289.8399963378906,301.9620056152344,288.8760070800781,297.0,297.0,44046500,23.0,-7.160003662109375,0
2020-08-04,299.00201416015625,305.48199462890625,292.3999938964844,297.3999938964844,297.3999938964844,42075000,20.0,1.602020263671875,1
2020-08-05,298.5979919433594,299.9679870605469,293.6619873046875,297.0039978027344,297.0039978027344,24739000,20.0,1.593994140625,1
2020-08-06,298.1659851074219,303.4620056152344,295.4519958496094,297.9159851074219,297.9159851074219,29961500,17.0,0.25,1
2020-08-07,299.9079895019531,299.95001220703125,283.00201416015625,290.5419921875,290.5419921875,44482000,16.0,9.365997314453125,1
2020-08-10,289.6000061035156,291.5,277.1679992675781,283.7139892578125,283.7139892578125,37611500,17.0,5.886016845703125,1
2020-08-11,279.20001220703125,284.0,273.0,274.87799072265625,274.87799072265625,43129000,27.0,4.322021484375,1
2020-08-12,294.0,317.0,287.0,310.9519958496094,310.9519958496094,109147000,46.0,-16.951995849609375,0
2020-08-13,322.20001220703125,330.2359924316406,313.4519958496094,324.20001220703125,324.20001220703125,102126500,37.0,-2.0,0
2020-08-14,332.99798583984375,333.760009765625,325.3280029296875,330.1419982910156,330.1419982910156,62888000,31.0,2.855987548828125,1
2020-08-17,335.3999938964844,369.1719970703125,334.5660095214844,367.12799072265625,367.12799072265625,101211500,43.0,-31.727996826171875,0
2020-08-18,379.7980041503906,384.7799987792969,369.0220031738281,377.4179992675781,377.4179992675781,82372500,49.0,2.3800048828125,1
2020-08-19,373.0,382.20001220703125,368.24200439453125,375.70599365234375,375.70599365234375,61026500,38.0,-2.70599365234375,0
2020-08-20,372.135986328125,404.39801025390625,371.4119873046875,400.3659973144531,400.3659973144531,103059000,48.0,-28.230010986328125,0
2020-08-21,408.9519958496094,419.0979919433594,405.010009765625,409.9960021972656,409.9960021972656,107448000,57.0,-1.04400634765625,0
2020-08-24,425.2560119628906,425.79998779296875,385.5039978027344,402.8399963378906,402.8399963378906,100318000,44.0,22.416015625,1
2020-08-25,394.9779968261719,405.5899963378906,393.6000061035156,404.6679992675781,404.6679992675781,53294500,37.0,-9.69000244140625,0
2020-08-26,412.0,433.20001220703125,410.72601318359375,430.6340026855469,430.6340026855469,71197000,40.0,-18.634002685546875,0
2020-08-27,436.0920104980469,459.1199951171875,428.5,447.75,447.75,118465000,46.0,-11.657989501953125,0
2020-08-28,459.02398681640625,463.697998046875,437.3039855957031,442.67999267578125,442.67999267578125,100406000,51.0,16.343994140625,1
2020-08-31,444.6099853515625,500.1400146484375,440.1099853515625,498.32000732421875,498.32000732421875,118374400,87.0,-53.71002197265625,0
2020-09-01,502.1400146484375,502.489990234375,470.510009765625,475.04998779296875,475.04998779296875,89841100,89.0,27.09002685546875,1
2020-09-02,478.989990234375,479.0400085449219,405.1199951171875,447.3699951171875,447.3699951171875,96176100,76.0,31.6199951171875,1
2020-09-03,407.2300109863281,431.79998779296875,402.0,407.0,407.0,87596100,85.0,0.230010986328125,1
2020-09-04,402.80999755859375,428.0,372.0199890136719,418.32000732421875,418.32000732421875,110321900,83.0,-15.510009765625,0
2020-09-08,356.0,368.739990234375,329.8800048828125,330.2099914550781,330.2099914550781,115465700,100.0,25.790008544921875,1
2020-09-09,356.6000061035156,369.0,341.510009765625,366.2799987792969,366.2799987792969,79465800,86.0,-9.67999267578125,0
2020-09-10,386.2099914550781,398.989990234375,360.55999755859375,371.3399963378906,371.3399963378906,84930600,62.0,14.8699951171875,1
2020-09-11,381.94000244140625,382.5,360.5,372.7200012207031,372.7200012207031,60717500,47.0,9.220001220703125,1
2020-09-14,380.95001220703125,420.0,373.29998779296875,419.6199951171875,419.6199951171875,83020600,48.0,-38.66998291015625,0
2020-09-15,436.55999755859375,461.94000244140625,430.70001220703125,449.760009765625,449.760009765625,97298200,60.0,-13.20001220703125,0
2020-09-16,439.8699951171875,457.7900085449219,435.30999755859375,441.760009765625,441.760009765625,72279300,49.0,-1.8900146484375,0
2020-09-17,415.6000061035156,437.7900085449219,408.0,423.42999267578125,423.42999267578125,76779200,43.0,-7.829986572265625,0
2020-09-18,447.94000244140625,451.0,428.79998779296875,442.1499938964844,442.1499938964844,86406800,43.0,5.790008544921875,1
2020-09-21,453.1300048828125,455.67999267578125,407.07000732421875,449.3900146484375,449.3900146484375,109476800,56.0,3.739990234375,1
2020-09-22,429.6000061035156,437.760009765625,417.6000061035156,424.2300109863281,424.2300109863281,79580800,78.0,5.3699951171875,1
2020-09-23,405.1600036621094,412.1499938964844,375.8800048828125,380.3599853515625,380.3599853515625,95074200,84.0,24.800018310546875,1
2020-09-24,363.79998779296875,399.5,351.29998779296875,387.7900085449219,387.7900085449219,96561100,58.0,-23.990020751953125,0
2020-09-25,393.4700012207031,408.7300109863281,391.29998779296875,407.3399963378906,407.3399963378906,67208500,40.0,-13.8699951171875,0
2020-09-28,424.6199951171875,428.0799865722656,415.54998779296875,421.20001220703125,421.20001220703125,49719600,40.0,3.41998291015625,1
2020-09-29,416.0,428.5,411.6000061035156,419.07000732421875,419.07000732421875,50219300,37.0,-3.07000732421875,0
2020-09-30,421.32000732421875,433.92999267578125,420.4700012207031,429.010009765625,429.010009765625,48145600,27.0,-7.69000244140625,0
2020-10-01,440.760009765625,448.8800048828125,434.4200134277344,448.1600036621094,448.1600036621094,50741500,35.0,-7.399993896484375,0
2020-10-02,421.3900146484375,439.1300048828125,415.0,415.0899963378906,415.0899963378906,71430000,42.0,6.300018310546875,1
2020-10-05,423.3500061035156,433.6400146484375,419.3299865722656,425.67999267578125,425.67999267578125,44722800,29.0,-2.329986572265625,0
2020-10-06,423.7900085449219,428.7799987792969,406.04998779296875,413.9800109863281,413.9800109863281,49146300,26.0,9.80999755859375,1
2020-10-07,419.8699951171875,429.8999938964844,413.8500061035156,425.29998779296875,425.29998779296875,43127700,26.0,-5.42999267578125,0
2020-10-08,438.44000244140625,439.0,425.29998779296875,425.9200134277344,425.9200134277344,40421100,26.0,12.519989013671875,1
2020-10-09,430.1300048828125,434.5899963378906,426.4599914550781,434.0,434.0,28925700,24.0,-3.8699951171875,0
2020-10-12,442.0,448.739990234375,438.5799865722656,442.29998779296875,442.29998779296875,38791100,25.0,-0.29998779296875,0
2020-10-13,443.3500061035156,448.8900146484375,436.6000061035156,446.6499938964844,446.6499938964844,34463700,26.0,-3.29998779296875,0
2020-10-14,449.7799987792969,465.8999938964844,447.3500061035156,461.29998779296875,461.29998779296875,47879700,29.0,-11.519989013671875,0
2020-10-15,450.30999755859375,456.57000732421875,442.5,448.8800048828125,448.8800048828125,35672400,27.0,1.42999267578125,1
2020-10-16,454.44000244140625,455.95001220703125,438.8500061035156,439.6700134277344,439.6700134277344,32775900,22.0,14.769989013671875,1
2020-10-19,446.239990234375,447.0,428.8699951171875,430.8299865722656,430.8299865722656,36287800,23.0,15.410003662109375,1
2020-10-20,431.75,431.75,419.04998779296875,421.94000244140625,421.94000244140625,31656300,23.0,9.80999755859375,1
2020-10-21,422.70001220703125,432.95001220703125,421.25,422.6400146484375,422.6400146484375,32370500,40.0,0.05999755859375,1
2020-10-22,441.9200134277344,445.2300109863281,424.510009765625,425.7900085449219,425.7900085449219,39993200,43.0,16.1300048828125,1
2020-10-23,421.8399963378906,422.8900146484375,407.3800048828125,420.6300048828125,420.6300048828125,33717000,28.0,1.209991455078125,1
2020-10-26,411.6300048828125,425.760009765625,410.0,420.2799987792969,420.2799987792969,28239200,29.0,-8.649993896484375,0
2020-10-27,423.760009765625,430.5,420.1000061035156,424.67999267578125,424.67999267578125,22686500,26.0,-0.91998291015625,0
2020-10-28,416.4800109863281,418.6000061035156,406.0,406.0199890136719,406.0199890136719,25451400,28.0,10.46002197265625,1
2020-10-29,409.9599914550781,418.05999755859375,406.4599914550781,410.8299865722656,410.8299865722656,22655300,31.0,-0.8699951171875,0
2020-10-30,406.8999938964844,407.5899963378906,379.1099853515625,388.0400085449219,388.0400085449219,42511300,33.0,18.8599853515625,1
