,Date,Open,High,Low,Close,Adj Close,Volume,Search Interest,Price Difference,Buy
0,2020-07-28,3.8499999046325684,4.25,3.8399999141693115,4.150000095367432,4.150000095367432,6226600,33.0,0.3000001907348633,1
1,2020-07-29,4.070000171661377,4.199999809265137,3.950000047683716,4.159999847412109,4.159999847412109,5489400,43.0,0.08999967575073242,1
2,2020-07-30,4.119999885559082,4.340000152587891,4.059999942779541,4.119999885559082,4.119999885559082,3699100,37.0,0.0,0
3,2020-07-31,4.079999923706055,4.150000095367432,3.950000047683716,4.039999961853027,4.039999961853027,2584900,33.0,-0.039999961853027344,0
4,2020-08-03,4.050000190734863,4.199999809265137,3.859999895095825,4.110000133514404,4.110000133514404,4047100,34.0,0.059999942779541016,1
5,2020-08-04,4.070000171661377,4.239999771118164,4.059999942779541,4.099999904632568,4.099999904632568,3267800,32.0,0.029999732971191406,1
6,2020-08-05,4.079999923706055,4.170000076293945,4.070000171661377,4.150000095367432,4.150000095367432,1691500,33.0,0.07000017166137695,1
7,2020-08-06,4.110000133514404,4.239999771118164,3.990000009536743,4.139999866485596,4.139999866485596,3742600,32.0,0.029999732971191406,1
8,2020-08-07,4.139999866485596,5.260000228881836,4.090000152587891,4.75,4.75,24917400,36.0,0.6100001335144043,1
9,2020-08-10,4.650000095367432,4.739999771118164,4.349999904632568,4.46999979019165,4.46999979019165,5048200,35.0,-0.18000030517578125,0
10,2020-08-11,4.699999809265137,4.849999904632568,4.539999961853027,4.559999942779541,4.559999942779541,5794800,32.0,-0.1399998664855957,0
11,2020-08-12,4.619999885559082,4.760000228881836,4.559999942779541,4.639999866485596,4.639999866485596,2457900,31.0,0.019999980926513672,1
12,2020-08-13,5.099999904632568,5.769999980926514,4.820000171661377,5.309999942779541,5.309999942779541,23259200,97.0,0.21000003814697266,1
13,2020-08-14,5.559999942779541,5.630000114440918,5.050000190734863,5.539999961853027,5.539999961853027,12055800,92.0,-0.019999980926513672,0
14,2020-08-17,5.71999979019165,5.849999904632568,5.429999828338623,5.599999904632568,5.599999904632568,7159200,51.0,-0.11999988555908203,0
15,2020-08-18,5.570000171661377,5.570000171661377,5.130000114440918,5.349999904632568,5.349999904632568,5790700,47.0,-0.2200002670288086,0
16,2020-08-19,5.340000152587891,5.46999979019165,5.179999828338623,5.389999866485596,5.389999866485596,5728300,52.0,0.04999971389770508,1
17,2020-08-20,5.570000171661377,5.78000020980835,5.300000190734863,5.690000057220459,5.690000057220459,13728400,100.0,0.11999988555908203,1
18,2020-08-21,5.679999828338623,5.679999828338623,5.179999828338623,5.190000057220459,5.190000057220459,8216900,81.0,-0.48999977111816406,0
19,2020-08-24,5.349999904632568,5.449999809265137,4.940000057220459,5.409999847412109,5.409999847412109,8498200,51.0,0.059999942779541016,1
20,2020-08-25,5.460000038146973,5.579999923706055,5.210000038146973,5.539999961853027,5.539999961853027,5296900,53.0,0.07999992370605469,1
21,2020-08-26,5.449999809265137,5.670000076293945,5.329999923706055,5.599999904632568,5.599999904632568,4419400,49.0,0.15000009536743164,1
22,2020-08-27,5.809999942779541,7.099999904632568,5.699999809265137,6.519999980926514,6.519999980926514,31921200,50.0,0.7100000381469727,1
23,2020-08-28,6.489999771118164,6.539999961853027,6.110000133514404,6.300000190734863,6.300000190734863,9882700,62.0,-0.18999958038330078,0
24,2020-08-31,6.329999923706055,6.449999809265137,5.760000228881836,5.880000114440918,5.880000114440918,9820200,49.0,-0.4499998092651367,0
25,2020-09-01,5.789999961853027,6.179999828338623,5.789999961853027,6.070000171661377,6.070000171661377,9524000,50.0,0.2800002098083496,1
26,2020-09-02,7.010000228881836,7.710000038146973,6.460000038146973,7.039999961853027,7.039999961853027,43056200,58.0,0.029999732971191406,1
27,2020-09-03,6.940000057220459,7.139999866485596,6.480000019073486,6.599999904632568,6.599999904632568,10626600,58.0,-0.3400001525878906,0
28,2020-09-04,6.760000228881836,7.019999980926514,6.230000019073486,7.019999980926514,7.019999980926514,9328800,65.0,0.25999975204467773,1
29,2020-09-08,6.760000228881836,6.949999809265137,6.369999885559082,6.420000076293945,6.420000076293945,6667400,48.0,-0.3400001525878906,0
